citation_key,item_type,title,year,journal,volume,issue,pages,doi,pmid,keywords,source_collection,source_query,url
Song2025Beyondpolarizationmacrophagesene,article,Beyond polarization: macrophage senescence in immunoregulation and cancer therapy.,2025,Int J Biol Sci,21,10,4312-4333,10.7150/ijbs.115921,40765820,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/40765820/
Tan2025CD2APisadisulfidptosismodulatoran,article,CD2AP is a disulfidptosis modulator and prognostic biomarker in hepatocellular carcinoma.,2025,Clin Exp Med,26,1,5,10.1007/s10238-025-01917-3,41249753,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/41249753/
Thu2025Decipheringlinezolidinducedhemato,article,Deciphering linezolid-induced hematologic toxicity: Targeting TOP2A and TOP2B via its primary metabolite PNU142586.,2025,Sci Adv,11,22,eadt5833,10.1126/sciadv.adt5833,40435237,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/40435237/
Yang2025Dicoumarolsensitizeshepatocellul,article,Dicoumarol sensitizes hepatocellular carcinoma cells to ferroptosis induced by imidazole ketone erastin.,2025,Front Immunol,16,,1531874,10.3389/fimmu.2025.1531874,40007539,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/40007539/
Zhang2025HumanmooddisorderriskgeneSynapt,article,Human mood disorder risk gene Synaptotagmin-14 contributes to mania-like behaviors in mice.,2025,Mol Psychiatry,30,8,3466-3477,10.1038/s41380-025-02933-1,39966626,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/39966626/
Maranchick2025LinezolidDosingandPharmaco,article,Linezolid Dosing and Pharmacokinetics in North American Patients With Tuberculosis.,2025,Clin Infect Dis,81,4,830-837,10.1093/cid/ciaf027,39834217,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/39834217/
Guglielmetti2025OralRegimensforRifampinR,article,"Oral Regimens for Rifampin-Resistant, Fluoroquinolone-Susceptible Tuberculosis.",2025,N Engl J Med,392,5,468-482,10.1056/NEJMoa2400327,39879593,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/39879593/
An2025Tuberculosisvaccinesandtherapeutic,article,Tuberculosis vaccines and therapeutic drug: challenges and future directions.,2025,Mol Biomed,6,1,4,10.1186/s43556-024-00243-6,39841361,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/39841361/
Matteelli2025Updateonmultidrugresistantt,article,Update on multidrug-resistant tuberculosis preventive therapy toward the global tuberculosis elimination.,2025,Int J Infect Dis,155,,107849,10.1016/j.ijid.2025.107849,39993523,bedaquiline-safety-qtc; drtb-short-regimen-outcomes; thesis-body,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/39993523/
Saukkonen2025UpdatesontheTreatmentofDrug,article,Updates on the Treatment of Drug-Susceptible and Drug-Resistant Tuberculosis: An Official ATS/CDC/ERS/IDSA Clinical Practice Guideline.,2025,Am J Respir Crit Care Med,211,1,15-33,10.1164/rccm.202410-2096ST,40693952,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/40693952/
